# SPDX-License-Identifier: Unicode-DFS-2016
# Columns: Form; Pronunciation

අං	aŋ
කන්නාඩිය	kannaːɖijə
කන්නාඩියක්	kannaːɖijak
කන්නෑ	kannæː
කන්නෙ	kanne
කන්නෙත්	kannet
කන්නේ	kanne
කඳ	kaⁿdə
කඳකි	kaⁿdəki
කඳකුමරු	kaⁿdəkuməru
කඳක්	kaⁿdak
කඳට	kaⁿdəʈə
කඳන්	kaⁿdan
කඳපොල	kaⁿdəpolə
කඳවුරක	kaⁿdəurəkə
කඳවුරකට	kaⁿdəurəkəʈə
කඳවුරකට	kaⁿdəwurəkəʈə
කඳවුරක්	kaⁿdəurak
කඳවුරට	kaⁿdəurəʈə
කඳවුරු	kaⁿdəuru
කඳවුරුවල	kaⁿdəuruwələ
කඳවුරෙන්	kaⁿdəuren
කඳවුරේ	kaⁿdəureː
කඳාන	kaⁿdaːnə
කඳින්	kaⁿdin
කඳු	kaⁿdu
කඳුකර	kaⁿdukərə
කඳුකරය	kaⁿdukərəjə
කඳුකරයට	kaⁿdukərəjəʈə
කඳුකරයෙන්	kaⁿdukərəjen
කඳුකරයේ	kaⁿdukərəjeː
කඳුගැටය	kaⁿduɡæʈəjə
කඳුමුදුනට	kaⁿdumudunəʈə
කඳුමුදුන්	kaⁿdumudun
කඳුරට	kaⁿduraʈə
කඳුල	kaⁿdulə
කඳුලක්	kaⁿdulak
කඳුලින්	kaⁿdulin
කඳුලු	kaⁿdulu
කඳුලෙන්	kəⁿdulen
කඳුවල	kaⁿduwələ
කඳුවැටි	kaⁿduwæʈi
කඳුවැටිය	kaⁿduwæʈijə
කඳුවැටියේ	kaⁿduwæʈijeː
කඳුළ	kaⁿdulə
කඳුළක්	kaⁿdulak
කඳුළින්	kaⁿdulin
කඳුළු	kaⁿdulu
කඳුළෙන්	kaⁿdulen
කඳෙන්	kaⁿden
කඳේ	kaⁿdeː
කප	kapə
කපටි	kapəʈi
කපන	kapənə
කපනවා	kapənəwa
කපන්න	kapannə
කපන්නට	kapannəʈə
කපන්නෙ	kapanne
කපන්නේ	kapanne
කපපු	kapəpu
කපයි	kapaj
කපල	kapəla
කපලා	kapəla
කපල්	kapəl
කපා	kapaː
කපාගන්න	kapaːɡannə
කපාගෙන	kapaːɡenə
කපිතාන්	kapitaːn
කපිරිඤ්ඤා	kapiriɲɲa
කපිල	kapilə
කපිලවස්තු	kapiləwastu
කපු	kapu
කපුගේ	kapuɡeː
කපුගේට	kapuɡeːʈə
කපුටා	kapuʈa
කපුරු	kapuru
කපුවත්තේ	kapuwatte
කපුවා	kapuwaː
කපූර්	kapuːr
කපොල්ල	kapollə
කප්	kap
කප්ප	kappə
කප්පං	kappaŋ
කප්පන්	kappan
කප්පම්	kappam
කප්පා	kappaː
කප්පාදු	kappaːdu
කබර	kabərə
කබරගල	kabərəɡalə
කබරගල	kabərəɡələ
කබරයා	kabərəja
කබල	kabələ
කබලක්	kabəlak
කබලෙන්	kabəlen
කබල්	kabal
කබාය	kabaːjə
කබීර්	kabiːr
කබොක්	kabok
කම	kamə
කමකට	kaməkəʈə
කමකි	kaməki
කමකින්	kaməkin
කමකුත්	kaməkut
කමක්	kamak
කමක්නෑ	kamaknæː
කමට	kaməʈə
කමටත්	kaməʈat
කමටයි	kaməʈaj
කමටහන්	kaməʈəhan
කමතේ	kaməteː
කමත්	kamat
කමද	kamədə
කමයි	kamaj
කමර්ෂල්	kəməːʃəl
කමලා	kaməla
කමල්	kamal
කමා	kamaː
කමාන්ඩෝ	kəmaːnɖoː
කමිටු	kamiʈu
කමිටුව	kamiʈuwə
කමිටුවක්	kamiʈuwak
කමිටුවට	kamiʈuwəʈə
කමිටුවේ	kamiʈuweː
කමින්	kamin
කමිස	kamisə
කමිසය	kamisəjə
කමිසයක්	kamisəjak
කමු	kamu
කමෙන්	kamen
කමෙන්ටි	kəmenʈi
කමෙන්ටියක්	kəmenʈijak
කමෙන්ටු	kəmenʈu
කමෙන්ටුව	kəmenʈuwə
කමෙන්ටුවකින්	kəmenʈuwəkin
කමෙන්ටුවකින්	kəmenʈuwəkiŋ
කමෙන්ටුවකුත්	kəmenʈuwəkut
කමෙන්ටුවක්	kəmenʈuwak
කමෙන්ටුවට	kəmenʈuwəʈə
කමෙන්ට්	kəmenʈ
කමෙන්ට්ස්	kəmenʈs
කමේ	kameː
කමේන්ට්	kəmeːnʈ
කමෝන්	kamoːn
කම්	kam
කම්කරු	kamkaru
කම්කරුවන්	kamkaruwan
කම්කරුවන්ගේ	kamkaruwanɡe
කම්කරුවන්ට	kamkaruwanʈə
කම්කරුවෝ	kamkaruwoː
කම්පන	kampənə
කම්පනය	kampənəjə
කම්පනයක්	kampənəjak
කම්පනයට	kampənəjəʈə
කම්පනයෙන්	kampənəjen
කම්පා	kampaː
කම්පාවට	kampaːwəʈə
කම්පිත	kampitə
කම්පියුටර්	kəmpijuʈər
කම්බ	kambə
කම්බි	kambi
කම්ම	kammə
කම්මං	kammaŋ
කම්මභවෝ	kamməbawoː
කම්මලේ	kamməleː
කම්මල්	kammal
කම්මැලි	kammæli
කම්මැලිකමක්	kammælikamak
කම්මැලියි	kammæliː
කම්මෑලි	kammæːli
කම්මුලට	kammuləʈə
කම්මුලේ	kammuleː
කම්මුල්	kammul
කම්හල	kamhalə
කම්හල්	kamhal
කඹ	kaᵐbə
කඹය	kaᵐbəjə
කඹයක්	kaᵐbəjak
කඹුරන	kaᵐburənə
කඹුරනවා	kaᵐburənəwaː
කඹුරුගමුවේ	kaᵐburuɡamuwe
කඹුරුපිටිය	kəᵐburupiʈijə
කඹුරුපිටියේ	kaᵐburupiʈije
කය	kajə
කයක්	kajak
කයට	kajəʈə
කයි	kaj
කයිට්ස්	kajʈs
කයින්	kajn
කයිය	kajjə
කයිවාරු	kajwaːru
කර	kara
කර	kərə
කරං	karaŋ
කරකර	kərəkərə
කරකවා	karəkawaː
කරකවා	karəkəwaː
කරකස්ය	karəkəsjə
කරකියාගතහැකි	karəkijaːɡatəhæki
කරක්	karak
කරගත	kərəɡatə
කරගත්	kərəɡat
කරගත්ත	kərəɡattə
කරගත්තට	kərəɡattaʈə
කරගත්තත්	kərəɡattat
කරගත්තා	kərəɡatta
කරගත්තු	kərəɡattu
කරගත්තෙ	kərəɡatte
කරගත්තේ	kərəɡatte
කරගත්තේය	kərəɡatteːjə
කරගත්තොත්	kərəɡattot
කරගත්හ	kərəɡathə
කරගන	kərəɡənə
කරගනින්	kərəɡanin
කරගනිමිනි	kərəɡanimini
කරගනිමින්	kərəɡanimin
කරගනිමු	kərəɡanimu
කරගනියි	kərəɡaniː
කරගනියි	kərəɡanij
කරගනී	kərəɡaniː
කරගනු	kərəɡanu
කරගන්ට	kərəɡanʈə
කරගන්ඩ	kərəɡanɖə
කරගන්න	kərəɡannə
කරගන්නට	kərəɡannəʈə
කරගන්නත්	kərəɡannat
කරගන්නයි	kərəɡannaj
කරගන්නව	kərəɡannəwa
කරගන්නවා	kərəɡannəwa
කරගන්නා	kərəɡannaː
කරගන්නෙ	kərəɡanne
කරගන්නේ	kərəɡanneː
කරගමු	kərəɡamu
කරගම්මු	kərəɡammu
කරගැනීම	kərəɡæniːmə
කරගැනීමට	kərəɡæniːməʈə
කරගැනීමයි	kərəɡæniːmaj
කරගැනීමේ	kərəɡæniːme
කරගෙන	kərəɡenə
කරගෙනම	kərəɡenəmə
කරගෙනය	kərəɡenəjə
කරගෙනයමු	kərəɡenəjamu
කරගෙනයි	kərəɡenaj
කරට	karəʈə
කරණ	karənə
කරණය	kərənəjə
කරණයට	kərənəjəʈə
කරණයේ	kərənəjeː
කරණවා	kərənəwaː
කරණීය	karəniːjə
කරණු	kərənu
කරඬු	karəⁿɖu
කරඬුව	karəⁿɖuwə
කරඬුවක	karəⁿɖuwəkə
කරති	kərəti
කරතොට	karətoʈə
කරත්	kərat
කරත්ත	karattə
කරත්තය	karattəjə
කරත්තයෙන්	karattəjen
කරත්වා	kəratwaː
කරදර	karədərə
කරදරම	karədərəmə
කරදරය	karədərəjə
කරදරයකට	karədərəjəkəʈə
කරදරයක්	karədərəjak
කරදරවලට	karədərəwələʈə
කරදරේ	karədəreː
කරදිය	karədijə
කරදී	kərədiː
කරදීම	kərədiːmə
කරදීමට	kərədiːməʈə
කරදෙන	kərədenə
කරද්දි	kəraddi
කරද්දී	kəraddiː
කරන	kərənə
කරනකන්	kərənəkan
කරනකම්	kərənəkam
කරනකොට	kərənəkoʈə
කරනතුරු	kərənəturu
කරනම්	karənam
කරනය	kərənəjə
කරනලද	kərənəladə
කරනව	kərənəwa
කරනවට	kərənəwaʈə
කරනවද	kərənəwadə
කරනවනම්	kərənəwanam
කරනවනෙ	kərənəwane
කරනවනේ	kərənəwaneː
කරනවලු	kərənəwalu
කරනවා	kərənəwa
කරනවාට	kərənəwaːʈə
කරනවාද	kərənəwaːdə
කරනවානම්	kərənəwaːnam
කරනවානේ	karənəwaːneː
කරනවාමයි	kərənəwaːmaj
කරනවාලු	kərənəwalu
කරනවිට	kərənəwiʈə
කරනා	kərənaː
කරනු	kərənu
කරනුයේ	kərənujeː
කරනේ	karəne
කරන්	karən
කරන්ට	kəranʈə
කරන්ට්	karanʈ
කරන්ඩ	kəranɖə
කරන්න	kərannə
කරන්නකි	kərannəki
කරන්නකො	kərannəko
කරන්නකෝ	kərannəko
කරන්නක්	kərannak
කරන්නට	kərannəʈə
කරන්නටත්	kərannəʈat
කරන්නටද	kərannəʈədə
කරන්නටය	karannəʈəjə
කරන්නත්	kərannat
කරන්නද	kərannədə
කරන්නනම්	karannənam
කරන්නනේ	kərannəne
කරන්නන්	kərannan
කරන්නන්ගේ	karannanɡe
කරන්නන්ට	kərannanʈə
කරන්නම	kərannəmə
කරන්නම්	kərannam
කරන්නයි	kərannaj
කරන්නවත්	kərannəwat
කරන්නවුන්	kərannəun
කරන්නවුන්ගේ	kərannəunɡe
කරන්නා	kərannaː
කරන්නාගේ	kərannaːɡe
කරන්නාවූ	kərannaːwuː
කරන්නැයි	kərannæj
කරන්නෑ	kərannæː
කරන්නීය	kəranniːjə
කරන්නෙ	kəranne
කරන්නෙකි	kəranneki
කරන්නෙකු	kəranneku
කරන්නෙක්	kərannek
කරන්නෙත්	kərannet
කරන්නෙපා	kərannepaː
කරන්නෙම	kərannemə
කරන්නෙමි	kərannemi
කරන්නෙමු	karannemu
කරන්නේ	kəranne
කරන්නේත්	kəranneːt
කරන්නේද	kəranneːdə
කරන්නේනම්	kəranneːnam
කරන්නේය	kəranneːjə
කරන්නේවත්	kəranneːwat
කරන්නෝ	kərannoː
කරන්නෝය	kərannoːjə
කරඳ	karəⁿdə
කරපං	kərəpaŋ
කරපන්	kərəpan
කරපල්ල	kərəpalla
කරපල්ලා	kərəpalla
කරපිංචා	karəpiŋca
කරපින්නා	karəpinnaː
කරපිය	kərəpijə
කරපියව්	kərəpijaw
කරපු	kərəpu
කරපුව	kərəpuwa
කරපුවා	kərəpuwa
කරබාගෙන	karəbaːɡenə
කරමි	kərəmi
කරමිනි	karəmini
කරමිනුයි	kərəminui
කරමින්	kərəmin
කරමින්ය	kərəminjə
කරමු	kərəmu
කරමුකෝ	kərəmuko
කරමුද	kərəmudə
කරය	karəjə
කරය	kərəjə
කරයි	kəraj
කරයිද	kərajdə
කරය්	kəraj
කරල	karələ
කරල	kərəla
කරලක්	karəlak
කරලත්	kərəlat
කරලද	karələdə
කරලනේ	kərəlaneː
කරලම	kərəlamə
කරලයි	kərəlaj
කරලවත්	kərəlawat
කරලා	kərəlaː
කරලාද	kərəlaːdə
කරලාම	kərəlaːmə
කරලැයින්	karəlæjn
කරලින්	karəlin
කරලියට	karəlijəʈə
කරලීම	kərəliːmə
කරලීමට	kərəliːməʈə
කරල්	karal
කරව	kərəwə
කරවන	kərəwənə
කරවනවා	kərəwənəwa
කරවනු	kərəwənu
කරවන්න	kərəwannə
කරවන්නකි	kərəwannəki
කරවන්නට	kərəwannəʈə
කරවන්නේ	kərəwanne
කරවමිනි	kərəwəmini
කරවමින්	kərəwəmin
කරවයි	kərəwaj
කරවල	karəwələ
කරවලා	karəwəlaː
කරවලා	kərəwəla
කරවා	kərəwaː
කරවිය	kərəwijə
කරවිල	karəwilə
කරවීම	kərəwiːmə
කරවීමට	kərəwiːməʈə
කරවීමයි	kərəwiːmaj
කරවීමේ	kərəwiːmeː
කරවීය	kərəwiːjə
කරවූ	kərəuː
කරහන්	kərəhan
කරළියට	karəlijəʈə
කරළියේ	karəlije
කරා	kəraː
කරාට	kəraːʈə
කරාටේ	karaːʈeː
කරාද	kəraːdə
කරානම්	kəraːnam
කරාපිටිය	karaːpiʈijə
කරාබු	karaːbu
කරාම	karaːmə
කරාම	kəraːmə
කරාව	karaːwə
කරාවි	kəraːwi
කරාවිද	karaːwidə
කරාවේ	karaːwe
කරින්	karin
කරීනා	kariːnaː
කරීම්	kariːm
කරු	karu
කරුංකා	kəruŋka
කරුණ	karunə
කරුණකට	karunəkəʈə
කරුණකි	karunəki
කරුණක්	karunak
කරුණට	karunəʈə
කරුණයි	karunaj
කරුණා	karunaː
කරුණාකර	karunaːkərə
කරුණාකරල	karunaːkərəla
කරුණාකරලා	karunaːkərəla
කරුණාතිලක	karunaːtiləkə
කරුණාදාස	karunaːdaːsə
කරුණානායක	karunaːnaːjəkə
කරුණානිධි	karunaːnidi
කරුණාබර	karunaːbarə
කරුණාබර	karunaːbərə
කරුණාරත්න	karunaːratnə
කරුණාව	karunaːwə
කරුණාවන්ත	karunaːwantə
කරුණාවෙන්	karunaːwen
කරුණාසේන	karunaːseːnə
කරුණු	karunu
කරුණුත්	karunut
කරුණුද	karunudə
කරුණුය	karunujə
කරුණුවල	karunuwələ
කරුණුවලට	karunuwələʈə
කරුණුවලින්	karunuwəlin
කරුන	karunə
කරුනකි	karunəki
කරුනක්	karunak
කරුනා	karunaː
කරුනාකර	karunaːkərə
කරුනාකරලා	karunaːkərəla
කරුනාවෙන්	karunaːwen
කරුනු	karunu
කරුම	karumə
කරුමය	karuməjə
කරුමයක්	karuməjak
කරුමෙ	karume
කරුමෙට	karumeʈə
කරුමේ	karume
කරුව	karuwə
කරුවකු	karuwəku
කරුවට	karuwəʈə
කරුවන්	karuwan
කරුවන්ගේ	karuwanɡe
කරුවන්ට	karuwanʈə
කරුවලේම	karuwəleːmə
කරුවා	karuwa
කරුවෙකි	karuweki
කරුවෙකු	karuweku
කරුවෙක්	karuwek
කරුවෝ	karuwoː
කරූ	karuː
කරෙ	kare
කරෙත්	karet
කරෙත්	kəret
කරේ	kareː
කරේ	kəreː
කරොත්	kərot
කරෝල	karoːlə
කර්	kar
කර්කශ	karkəʃə
කර්කෂ	karkəʃə
කර්‍තව්‍යය	kartawjə
කර්‍තව්‍යය	kartawjəjə
කර්තව්යය	kartawwjə
කර්තව්යය	kartawwjəjə
කර්තෘ	kartruː
කර්තෘ	kattruː
කර්තෘත්වය	kartrutwəjə
කර්තෘභාග	kartruːbaːɡə
කර්තෘභාග	kattruːbaːɡə
කර්තෘවරයකු	kartruːwərəjəku
කර්තෘවරයකු	kattruːwərəjəku
කර්තෘවරයා	kartruwərəja
කර්තෘවරුන්	kartruːwərun
කර්තෘවරුන්	kattruːwərun
කර්නල්	kəːnəl
කර්නෙවාලේ	kərnewaːleː
කර්ම	karmə
කර්මඵල	karməpalə
කර්මය	karməjə
කර්මයකි	karməjəki
කර්මයක්	karməjak
කර්මයට	karməjəʈə
කර්මයන්	karməjan
කර්මයෙන්	karməjen
කර්මයේ	karməjeː
කර්මාන්ත	karmaːntə
කර්මාන්තය	karmaːntəjə
කර්මාන්තයක්	karmaːntəjak
කර්මාන්තයට	karmaːntəjəʈə
කර්මාන්තයෙන්	karmaːntəjen
කර්මාන්තයේ	karmaːntəje
කර්මාන්තශාලා	karmaːntəʃaːlaː
කර්මාන්තශාලාව	karmaːntəʃaːlaːwə
කල	kalə
කලඑළි	kaləeli
කලං	kalaŋ
කලක	kaləkə
කලකට	kaləkəʈə
කලකදී	kaləkədi
කලකින්	kaləkin
කලකින්ම	kaləkinmə
කලකිරිලා	kaləkirila
කලකිරී	kaləkiriː
කලකිරීම	kaləkiriːmə
කලකිරීමක්	kaləkiriːmak
කලකිරීමට	kaləkiriːməʈə
කලකිරීමෙන්	kaləkiriːmen
කලකිරීම්	kaləkiriːm
කලකිරුණු	kaləkirunu
කලක්	kalak
කලගුණ	kələɡunə
කලට	kaləʈə
කලණ	kalənə
කලණමිතුරු	kalənəmituru
කලත්	kalat
කලත්	kəlat
කලද	kalədə
කලදසාව	kalədasaːwə
කලන	kalənə
කලඳක්	kaləⁿdak
කලපු	kaləpu
කලපුව	kaləpuwə
කලපුවට	kaləpuwəʈə
කලපුවේ	kaləpuweː
කලබගෑනියක්	kaləbaɡæːnijak
කලබල	kaləbələ
කලබලකාරී	kaləbələkaːriː
කලබලයක්	kaləbələjak
කලබලයට	kaləbələjəʈə
කලබලයෙන්	kaləbələjen
කලමණාකරණය	kaləmənaːkərənəjə
කලමණාකරණය	kəlamənaːkərənəjə
කලයුතු	kələjutu
කලයුතුය	kələjutujə
කලයුතුයි	kələjutuj
කලයුත්තේ	kələjutte
කලර්	kaləː
කලල්පිටියේදී	kalalpiʈijedi
කලවම්	kaləwam
කලවා	kaləwa
කලවාන	kaləwaːnə
කලවැද්දා	kaləwædda
කලවිට	kaləwiʈə
කලවිට	kələwiʈə
කලහ	kalaha
කලහකාරී	kalahakaːri
කලහම	kəlahamə
කලහැකි	kələhæki
කලහොත්	kələhot
කලා	kalaː
කලාඔය	kalaːojə
කලාකරුවකු	kalaːkaruwəku
කලාකරුවන්	kalaːkaruwan
කලාකරුවන්ගේ	kalaːkaruwanɡeː
කලාකරුවන්ට	kalaːkaruwanʈə
කලාකරුවා	kalaːkaruwa
කලාකරුවාගේ	kalaːkaruwaːɡeː
කලාකරුවාට	kalaːkaruwaːʈə
කලාකරුවෙකි	kalaːkaruweki
කලාකරුවෙකුගේ	kalaːkaruwekuɡeː
කලාකරුවෙක්	kalaːkaruwek
කලාකරුවෝ	kalaːkaruwo
කලාකාමී	kalaːkaːmiː
කලාකාරයෝ	kalaːkaːrəjo
කලාකාරිනියක්	kalaːkaːrinijak
කලාකාරිනියයි	kalaːkaːrinijaj
කලාකෘති	kalaːkruti
කලාට	kəlaːʈə
කලාතුරකිනි	kalaːturəkini
කලාතුරකින්	kalaːturəkin
කලාත්මක	kalaːtməkə
කලාද	kəlaːdə
කලානම්	kəlaːnam
කලානේ	kəlaːne
කලාඳුරු	kalaːⁿduru
කලාප	kalaːpə
කලාපය	kalaːpəjə
කලාපයකි	kalaːpəjəki
කලාපයක්	kalaːpəjak
කලාපයට	kalaːpəjəʈə
කලාපයටම	kalaːpəjəʈəmə
කලාපයන්	kalaːpəjan
කලාපයයි	kalaːpəjaj
කලාපයෙන්	kalaːpəjen
කලාපයේ	kalaːpəjeː
කලාපවල	kalaːpəwələ
කලාපවලය	kalaːpəwələjə
කලාපීය	kalaːpiːjə
කලාපුර	kalaːpurə
කලාම	kəlaːmə
කලාය	kəlaːjə
කලාලු	kəlaːlu
කලාව	kalaːwə
කලාවකි	kalaːwəki
කලාවක්	kalaːwak
කලාවට	kalaːwəʈə
කලාවටය	kalaːwəʈəjə
කලාවත්	kalaːwat
කලාවන්	kalaːwan
කලාවයි	kalaːwaj
කලාවැව	kalaːwæwə
කලාවෙන්	kalaːwen
කලාවේ	kalaːweː
කලාවේදින්	kalaːweːdin
කලාවේදියකු	kalaːweːdijəku
කලාවේදී	kalaːweːdiː
කලි	kali
කලිං	kaliŋ
කලිනි	kalini
කලිනුත්	kalinut
කලින්	kalin
කලින්ම	kalinmə
කලියුගය	kalijuɡəjə
කලියෙන්	kalijen
කලිසම	kalisəmə
කලිසමක්	kalisəmak
කලිසමේ	kalisəmeː
කලිසම්	kalisam
කලී	kaliː
කලු	kalu
කලුතර	kalutərə
කලුවරේම	kaluwəreːmə
කලූ	kaluː
කලෙ	kəle
කලෙක	kalekə
කලෙකින්	kalekin
කලෙක්ෂන්	kəlekʃən
කලෙත්	kəlet
කලෙමි	kəlemi
කලේ	kəleː
කලේත්	kəleːt
කලේද	kəleːdə
කලේය	kəleːjə
කලොත්	kəlot
කල්	kal
කල්ගත	kalɡatə
කල්තබා	kaltabaː
කල්තියා	kaltijaː
කල්තියාම	kaltijaːmə
කල්දේරා	kaldeːra
කල්ප	kalpə
කල්පනා	kalpənaː
කල්පනාකාරි	kalpənaːkaːri
කල්පනාකාරී	kalpənaːkaːriː
කල්පනාකාරීව	kalpənaːkaːriːwə
කල්පනාව	kalpənaːwə
කල්පනාවක්	kalpənaːwak
කල්පනාවෙන්	kalpənaːwen
කල්පය	kalpəjə
කල්පයක්	kalpəjak
කල්පයයි	kalpəjaj
කල්පයේ	kalpəjeː
කල්පයේම	kalpəjeːmə
කල්පිටිය	kalpiʈijə
කල්පිටියේ	kalpiʈijeː
කල්පිත	kalpitə
කල්යත්ම	kaljatmə
කල්යාණ	kaljaːnə
කල්‍යාණ	kaljaːnə
කල්යාණී	kaljaːni
කල්‍යාණී	kaljaːniː
කල්ල	kallə
කල්ලතෝනි	kallətoːni
කල්ලි	kalli
කල්ලිය	kallijə
කල්ලියක	kallijəkə
කල්ලියක්	kallijak
කල්ලියට	kallijəʈə
කල්ලියේ	kallijeː
කල්හාර	kalhaːrə
කල්හි	kalhi
කල්හිම	kalhimə
කව	kawə
කවට	kawəʈə
කවදත්	kawədat
කවදද	kawədadə
කවදහරි	kawədahari
කවදා	kawəda
කවදාකවත්	kawədaːkəwat
කවදාද	kawədaːdə
කවදාවත්	kawədaːwat
කවදාවත්ම	kawədaːwatmə
කවදාහරි	kawədaːhari
කවද්ද	kawaddə
කවන	kawənə
කවනවා	kawənəwa
කවන්න	kawannə
කවන්නේ	kawanneː
කවමදාවත්	kawəmədaːwat
කවය	kawəjə
කවර	kawərə
කවරකු	kawərəku
කවරක්	kawərak
කවරය	kawərəjə
කවරහු	kawərəhu
කවරහුද	kawərəhuda
කවරෙකු	kawəreku
කවරෙක්	kawərek
කවරෙක්ද	kawərekdə
කවරේද	kawəreːdə
කවර්	kawər
කවලා	kawəla
කවා	kawaː
කවාකාර	kawaːkaːrə
කවි	kawi
කවිකාර	kawikaːrə
කවිත්	kawit
කවිඳු	kawiⁿdu
කවිය	kawijə
කවියක	kawijəkə
කවියකි	kawijəki
කවියකින්	kawijəkin
කවියකු	kawijəku
කවියක්	kawijak
කවියක්ය	kawijakjə
කවියට	kawijəʈə
කවියන්	kawijan
කවියයි	kawijaj
කවියා	kawijaː
කවියාගේ	kawijaːɡe
කවියෙකු	kawijeku
කවියෙක්	kawijek
කවියෙන්	kawijen
කවියේ	kawijeː
කවිවල	kawiwələ
කවීන්	kawiːn
කවු	kaw
කවුඩුල්ල	kawɖullə
කවුද	kawdə
කවුදැයි	kawdæj
කවුදෝ	kawdoː
කවුන්ටරයට	kawnʈərəjəʈə
කවුන්සිලය	kawnsiləjə
කවුන්සිලයෙන්	kawnsiləjen
කවුරු	kawru
කවුරුත්	kawrut
කවුරුත්ම	kawrutmə
කවුරුද	kawrudə
කවුරුන්	kawrun
කවුරුන්ද	kawrundə
කවුරුන්දැයි	kawrundæj
කවුරුවත්	kawruwat
කවුරුවත්ම	kawruwatmə
කවුරුහරි	kawruhari
කවුරුහරිද	kawruharidə
කවුළු	kawlu
කවුළුව	kawluwə
කවුළුවෙන්	kawluwen
කව්	kaw
කව්ද	kawdə
කව්පි	kawpi
කව්රු	kawru
කව්රුත්	kawrut
කව්රුන්	kawrun
කව්රුවත්	kawruwat
කව්රුහරි	kawruhari
කව්සිළුමිණ	kawsiluminə
කෂාය	kaʃaːjə
කස	kasə
කසන	kasənə
කසය	kasəjə
කසල	kasələ
කසළ	kasələ
කසා	kasaː
කසාද	kasaːdə
කසාදය	kasaːdəjə
කසාදයක්	kasaːdəjak
කසාදෙ	kasaːde
කසාය	kasaːjə
කසාවත	kasaːwətə
කසාවත්	kasaːwat
කසිකබල්	kasikabal
කසිප්පු	kasippu
කසුන්	kasun
කසූ	kasuː
කසේ	kaseː
කස්ටිය	kasʈijə
කස්ටියට	kasʈijəʈə
කස්ටියටම	kasʈijəʈəmə
කස්ටියම	kasʈijəmə
කස්සප	kassəpə
කහ	kaha
කහට	kahaʈə
කහඳගමගේ	kahaⁿdəɡaməɡe
කහපාට	kahapaːʈə
කහඹිලියා	kahaᵐbilija
කහවත්ත	kahawattə
කහවනු	kahawənu
කහානි	kahaːni
කහින	kahinə
කහින්නේ	kahinne
කළ	kalə
කළ	kələ
කළක්	kalak
කළගුණ	kələɡunə
කළණ	kalənə
කළත්	kalat
කළද	kalədə
කළද	kəladə
කළඳක්	kaləⁿdak
කළපුව	kaləpuwə
කළපුවේ	kaləpuweː
කළබල	kaləbələ
කළමණාකරණය	kaləmənaːkərənəjə
කළමනා	kaləmənaː
කළමනාකරණ	kaləmənaːkərənə
කළමනාකරණය	kaləmənaːkərənəjə
කළමනාකරණයෙන්	kaləmənaːkarənəjen
කළමනාකරණයෙන්	kaləmənaːkərənəjen
කළමනාකරණයේ	kaləmənaːkərənəje
කළමනාකරු	kaləmənaːkaru
කළමනාකරුය	kaləmənaːkarujə
කළමනාකාර	kaləmənaːkaːrə
කළඹ	kaləᵐbə
කළය	kaləjə
කළයුතු	kələjutu
කළයුතුය	kələjutujə
කළයුතුව	kələjutuwə
කළයුත්තේ	kələjutte
කළලය	kalələjə
කළවුන්	kələun
කළහ	kələhə
කළහම	kaləhamə
කළහැකි	kələhæki
කළහොත්	kələhot
කළා	kəlaː
කළාකාමී	kalaːkaːmiː
කළාට	kəlaːʈə
කළාද	kəlaːdə
කළානම්	kəlaːnam
කළානේ	kəlaːne
කළාඳුරු	kalaːⁿduru
කළාම	kəlaːmə
කළාය	kəlaːjə
කළාලු	kəlaːlu
කළැයි	kəlæj
කළිඟු	kaliᵑɡu
කළින්	kalin
කළු	kalu
කළුආරච්චි	kaluaːracci
කළුකුම්	kalukum
කළුගල්	kaluɡal
කළුතර	kalutərə
කළුපාට	kalupaːʈə
කළුබෝවිල	kaluboːwilə
කළුරිය	kalurijə
කළුවර	kaluwərə
කළුවරකින්	kaluwərəkin
කළුවරේ	kaluwəre
කළුවා	kaluwa
කළෙත්	kəlet
කළෙමි	kəlemi
කළෙමු	kəlemu
කළේ	kəleː
කළේත්	kəleːt
කළේද	kəleːdə
කළේය	kəleːjə
කළොත්	kəlot
කළෝ	kəloː
කළෝය	kəloːjə
කළ්	kal
කෆීර්	kafiːr
කා	kaː
කාංචන	kaːŋcənə
කාංචනා	kaːŋcənaː
කාක	kaːkə
කාකා	kaːka
කාකාස	kaːkaːsə
කාගීල්ස්	kaːɡiːls
කාගෙ	kaːɡe
කාගෙත්	kaːɡet
කාගෙද	kaːɡedə
කාගෙන	kaːɡenə
කාගෙන්	kaːɡen
කාගෙන්ද	kaːɡendə
කාගෙන්වත්	kaːɡenwat
කාගෙවත්	kaːɡewat
කාගේ	kaːɡe
කාගේත්	kaːɡeːt
කාගේද	kaːɡedə
කාගේවත්	kaːɡeːwat
කාච	kaːcə
කාජල්	kaːɟəl
කාට	kaːʈə
කාටත්	kaːʈat
කාටද	kaːʈədə
කාටර්	kaːʈər
කාටවත්	kaːʈəwat
කාටවත්ම	kaːʈəwatmə
කාටහරි	kaːʈəhari
කාටුන්	kaːʈun
කාටූන්	kaːʈun
කාඩ්	kaːɖ
කාඩ්බෝඩ්	kaːɖboːɖ
කාණු	kaːnu
කාණ්ඩ	kaːnɖə
කාණ්ඩයේ	kaːnɖəje
කාත්	kaːt
කාදර්	kaːdər
කාදිනල්	kaːdinəl
කාන්	kaːn
කාන්ත	kaːntə
